start,accurate,not accurate,epsilon,percentage
850000001,850006000.9788237,3193743.8864129353,846812257.0924107,99.6242680777859
860000001,860006000.97907,3212475.6827095207,856793525.2963604,99.6264589224898
870000001,870006000.9793105,3231098.886137656,866774902.0931729,99.62861188514786
880000001,880006000.9795456,3249615.3637007563,876756385.6158448,99.63072804502656
890000001,890006000.9797754,3268026.9295096085,886737974.0502658,99.6328084388294
900000001,900006000.9800001,3286335.3468567384,896719665.6331434,99.63485406283088
910000001,910006000.98022,3304542.330187344,906701458.6500326,99.63686587488128
920000001,920006000.9804349,3322649.5469730175,916683351.4334619,99.63884479629131
930000001,930006000.9806453,3340658.619494066,926665342.3611512,99.64079171360491
940000001,940006000.9808512,3358571.1265358073,936647429.8543154,99.64270748026807
950000001,950006000.9810528,3376388.605003873,946629612.3760489,99.64459291820083
960000001,960006000.9812502,3394112.551463195,956611888.4297869,99.64644881927883
970000001,970006000.9814434,3411744.423605027,966594256.5578383,99.64827594673093
980000001,980006000.9816328,3429285.641646085,976576715.3399868,99.65007503645784
990000001,990006000.9818183,3446737.5896635936,986559263.3921547,99.65184679827745
1000000001,1000006000.9820001,3464101.6168698054,996541899.3651303,99.65359191710169
1010000001,1010006000.9821783,3481379.038829297,1006524621.943349,99.6553110540488
1020000001,1020006000.9823531,3498571.138622166,1016507429.8437309,99.65700484749573
1030000001,1030006000.9825244,3515679.1679560295,1026490321.8145684,99.65867391407406
1040000001,1040006000.9826925,3532704.3482295545,1036473296.634463,99.66031884961323
1050000001,1050006000.9828572,3549647.871550078,1046456353.1113071,99.66194023003416
1060000001,1060006000.983019,3566510.901707718,1056439490.0813112,99.66353861219652
1070000001,1070006000.9831777,3583294.5751082203,1066422706.4080695,99.66511453470208
1080000001,1080006000.9833333,3600000.0016666665,1076406000.9816666,99.6666685186574
1090000001,1090006000.9834864,3616628.2656640285,1086389372.7178223,99.6682010683977
1100000001,1100006000.9836364,3633180.4265684355,1096372820.5570679,99.66971267217455
1110000001,1110006000.983784,3649657.5198229216,1106356343.4639611,99.67120380280934
1120000001,1120006000.9839287,3666060.557601306,1116339940.4263275,99.67267491831467
1130000001,1130006000.9840708,3682390.52953377,1126323610.454537,99.67412646248542
1140000001,1140006000.9842107,3698648.4034036,1136307352.5808072,99.6755588654612
1150000001,1150006000.9843478,3714835.1258164877,1146291165.8585312,99.67697254426177
1160000001,1160006000.9844828,3730951.622843695,1156275049.361639,99.67836790329729
1170000001,1170006000.9846156,3746998.8006403204,1166259002.1839752,99.67974533485409
1180000001,1180006000.9847457,3762977.546039838,1176243023.438706,99.68110521955825
1190000001,1190006000.984874,3778888.727126005,1186227112.257748,99.68244792681729
1200000001,1200006000.9850001,3794733.193783194,1196211267.7912169,99.68377381524188
1210000001,1210006000.985124,3810511.778226122,1206195489.206898,99.6850832330481
1220000001,1220006000.985246,3826225.2955099232,1216179775.6897361,99.68637651844172
